Topik,Jumlah Berita
Infrastruktur,138
Administrasi Pemerintahan,137
UMKM & Ekonomi,103
Administrasi Kependudukan,82
Transportasi,72
Pendidikan,63
Kesehatan,38
Pertanian & Perikanan,37
Pariwisata,34
Perizinan,33
Keamanan,25
Perpajakan & Retribusi,20
Ketenagakerjaan,13
Lingkungan,9
Sosial,9
